column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
AbsDistance2Head,numeric,335597,0.0,0.0,1.0,2.4136598360533617,2.0,5.0,63.0,2.821761885221623,48,
CURRENT_FIX_INTEREST_AREA_INDEX,numeric,335597,0.0,0.0,7.0,40.71635920464128,36.0,82.0,163.0,28.967177590338018,164,
IA_BOTTOM,numeric,335597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_DWELL_TIME,numeric,209283,37.6,101.0,141.0,221.82645421895896,206.0,317.0,995.0,81.42475958041257,5170,
IA_DWELL_TIME_%,numeric,209283,37.6,0.0029834600068250694,0.00996576867091768,0.022624866807146312,0.018440647657898043,0.03798048015660352,1.0,0.021146536368723233,192887,
IA_FIRST_FIXATION_DURATION,numeric,209283,37.6,101.0,132.0,221.7867719786127,203.0,328.0,999.0,91.49853975764266,849,
IA_FIRST_FIXATION_VISITED_IA_COUNT,numeric,335597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_FIRST_FIX_DURATION,numeric,209283,37.6,101.0,132.0,221.7867719786127,203.0,328.0,999.0,91.49853975764266,849,
IA_FIRST_FIX_DWELL_TIME,numeric,209283,37.6,101.0,136.0,269.46596235719096,220.0,443.0,9052.0,193.96941241121326,1793,
IA_FIRST_FIX_PROGRESSIVE,numeric,335597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_FIRST_RUN_DWELL_TIME,numeric,335597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_FIRST_RUN_FIXATION_COUNT,numeric,335597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_FIRST_RUN_LANDING_POSITION,numeric,335597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_FIXATION_%,numeric,335597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_FIXATION_COUNT,numeric,335597,0.0,0.0,0.0,1.0609600205007792,1.0,2.0,65.0,1.3369307678179672,35,
IA_LAST_FIXATION_DURATION,numeric,335597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_LAST_RUN_DWELL_TIME,numeric,335597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_LAST_RUN_FIXATION_COUNT,numeric,335597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_LAST_RUN_LANDING_POSITION,numeric,335597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_LEFT,numeric,335597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_REGRESSION_IN_COUNT,numeric,335597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_REGRESSION_OUT_COUNT,numeric,335597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_REGRESSION_OUT_FULL_COUNT,numeric,335597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_REGRESSION_OUT_TIME,numeric,209283,37.6,101.0,144.0,413.23693276568093,243.0,676.0,73181.0,989.0929919718203,4429,
IA_REGRESSION_PATH_DURATION,numeric,335597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_RIGHT,numeric,335597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_RUN_COUNT,numeric,335597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_SELECTIVE_REGRESSION_PATH_DURATION,numeric,335597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_SKIP,numeric,335597,0.0,0.0,0.0,0.3763859629257711,0.0,1.0,1.0,0.4844793795914519,2,"{0: 62.4, 1: 37.6}"
IA_TOP,numeric,335597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_TOTAL_FIXATION_DURATION,numeric,209283,37.6,101.0,148.0,382.7060200780761,273.0,716.0,19838.0,365.0108809540154,2896,
LengthCategory,categorical,335597,0.0,,,,,,,,4,"{1: 55.6, 2: 33.8, 3: 6.1, 0: 4.4}"
NEXT_SAC_END_X,numeric,335597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
NEXT_SAC_END_Y,numeric,335597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
NEXT_SAC_START_X,numeric,335597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
NEXT_SAC_START_Y,numeric,335597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
PARAGRAPH_RT,numeric,335597,0.0,3681.5,66626.0,128209.5765978096,118223.27857142857,200593.69801587303,320781.43946886447,55118.64722428408,452,
