column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
AbsDistance2Head,numeric,267605,0.0,0.0,1.0,2.2346368715083798,1.0,4.0,55.0,2.817224542860128,42,
CURRENT_FIX_INTEREST_AREA_INDEX,numeric,267605,0.0,0.0,10.0,54.17477251919807,53.0,99.0,148.0,32.81754937221539,149,
FD,numeric,267605,0.0,0.0,0.0,58.54744119130808,0.0,205.0,1043.0,93.72758577134843,622,
FFD,numeric,267605,0.0,0.0,0.0,18.734683582145326,0.0,0.0,1043.0,61.03870459835466,547,
FPF,numeric,267605,0.0,0.0,0.0,0.0994712355897685,0.0,0.0,1.0,0.299294242537464,2,"{0: 90.1, 1: 9.9}"
FPRT,numeric,267605,0.0,0.0,0.0,20.99358756376002,0.0,0.0,1848.0,72.3993565223244,801,
FPReg,numeric,267605,0.0,0.0,0.0,0.04254404813064031,0.0,0.0,1.0,0.20182716446739374,2,"{0: 95.7, 1: 4.3}"
FRT,numeric,267605,0.0,0.0,0.0,64.66775658152875,0.0,222.0,3522.0,110.64349478556295,951,
Fix,numeric,267605,0.0,0.0,0.0,0.3257599820631154,0.0,1.0,1.0,0.46865897720615596,2,"{0: 67.4, 1: 32.6}"
IA_BOTTOM,numeric,267605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_DWELL_TIME,numeric,267605,0.0,0.0,0.0,58.54744119130808,0.0,205.0,1043.0,93.72758577134843,622,
IA_DWELL_TIME_%,numeric,267605,0.0,0.0,0.0,0.00934212738924908,0.0,0.0324526085390519,0.4358974358974359,0.0171873472045214,74520,
IA_FIRST_FIXATION_DURATION,numeric,267605,0.0,0.0,0.0,18.734683582145326,0.0,0.0,1043.0,61.03870459835466,547,
IA_FIRST_FIXATION_VISITED_IA_COUNT,numeric,267605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_FIRST_FIX_PROGRESSIVE,numeric,267605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_FIRST_RUN_DWELL_TIME,numeric,267605,0.0,0.0,0.0,20.99358756376002,0.0,0.0,1848.0,72.3993565223244,801,
IA_FIRST_RUN_FIXATION_COUNT,numeric,267605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_FIRST_RUN_FIXATION_DURATION,numeric,267605,0.0,0.0,0.0,20.99358756376002,0.0,0.0,1848.0,72.3993565223244,801,
IA_FIXATION_%,numeric,267605,0.0,0.0,0.0,0.00934212738924908,0.0,0.03125,0.375,0.01904952513923731,1162,
IA_FIXATION_COUNT,numeric,267605,0.0,0.0,0.0,0.5710767736028849,0.0,2.0,28.0,1.1244966923573974,29,
IA_LABEL,categorical,267605,0.0,,,,,,,,12684,
IA_LAST_FIXATION_DURATION,numeric,267605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_LAST_RUN_DWELL_TIME,numeric,267605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_LAST_RUN_FIXATION_COUNT,numeric,267605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_LEFT,numeric,267605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_REGRESSION_IN_COUNT,numeric,267605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_REGRESSION_OUT_COUNT,numeric,267605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_REGRESSION_OUT_FULL_COUNT,numeric,267605,0.0,0.0,0.0,0.17926047719586705,0.0,1.0,19.0,0.49387398162381035,14,"{0: 85.6, 1: 11.8, 2: 2.0, 3: 0.4, 4: 0.1, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 10: 0.0, 13: 0.0, 12: 0.0, 19: 0.0, 11: 0.0}"
IA_REGRESSION_PATH_DURATION,numeric,267605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_RIGHT,numeric,267605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_RUN_COUNT,numeric,267605,0.0,0.0,0.0,0.5710767736028849,0.0,2.0,28.0,1.1244966923573974,29,
IA_SELECTIVE_REGRESSION_PATH_DURATION,numeric,267605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_SINGLE_FIXATION_DURATION,numeric,267605,0.0,0.0,0.0,16.558162216699987,0.0,0.0,1043.0,57.55466154124049,526,
IA_SKIP,numeric,267605,0.0,0.0,0.0,0.3257599820631154,0.0,1.0,1.0,0.46865897720615596,2,"{0: 67.4, 1: 32.6}"
IA_TOP,numeric,267605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
LengthCategory,categorical,267605,0.0,,,,,,,,4,"{2: 48.2, 1: 45.2, 3: 3.7, 0: 2.9}"
